CONTRACT,MATURITY,QUANTITY
AEX,201701,0
AUD,201703,-1
BOBL,201703,-2
BTP,201703,1
BUND,201703,0
CAC,201701,1
COPPER,201703,0
CORN,201712,-2
CRUDE_W,201712,0
EDOLLAR,201912,-1
EUR,201703,-1
EUROSTX,201703,0
GAS_US,201703,0
GBP,201703,-2
GOLD,201702,-1
JPY,201703,-2
KOSPI,201703,0
KR10,201703,-1
KR3,201703,-2
LEANHOG,201706,1
LIVECOW,201710,-1
MXP,201703,-1
NASDAQ,201703,0
NZD,201703,0
OAT,201703,1
PALLAD,201703,0
PLAT,201701,0
SMI,201703,0
SOYBEAN,201711,0
SP500,201703,0
US10,201703,0
US2,201703,-2
US20,201703,0
US5,201703,0
V2X,201702,-9
VIX,201702,-2
WHEAT,201712,-5
