CARVER,DATEFROM,DELTA,DONE,QUANDL,IB,SECTYPE,CURRENCY,Q_EXCHANGE,IB_EXCHANGE,MULTIPLIER,PRICE,CARRY
AEX,2016-10-17,,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201611,201612
AEX,2016-11-16,-0.15,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201612,201701
AEX,2016-12-12,-0.15,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201701,201702
AEX,2017-01-09,-1.9,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201702,201703
AEX,2017-02-17,1.85,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201703,201704
AEX,2017-03-13,-2.0,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201704,201705
AEX,2017-04-11,-5.999999999999943,1,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201705,201706
AEX,2017-05-12,-5.,0,FTI,EOE,FUT,EUR,LIFFE,FTA,200,201706,201707
AUD,2016-09-12,,1,AD,AUD,FUT,USD,CME,GLOBEX,0,201612,201703
AUD,2016-12-09,-0.0014,1,AD,AUD,FUT,USD,CME,GLOBEX,0,201703,201706
AUD,2017-03-10,-0.0013999999999999568,1,AD,AUD,FUT,USD,CME,GLOBEX,0,201706,201709
AUD,2017-06-09,,0,AD,AUD,FUT,USD,CME,GLOBEX,0,201709,201712
BOBL,2016-08-31,,1,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201612,201703
BOBL,2016-12-01,1.63,1,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201703,201706
BOBL,2017-03-01,-2.01,1,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201706,201709
BOBL,2017-06-01,,0,FGBM,GBM,FUT,EUR,EUREX,DTB,0,201709,201712
BTP,2016-08-31,,1,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201612,201703
BTP,2016-12-01,-1.79,1,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201703,201706
BTP,2017-03-01,-2.19,1,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201706,201709
BTP,2017-06-01,,0,FBTP,BTP,FUT,EUR,EUREX,DTB,0,201709,201712
BUND,2016-08-31,,1,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201612,201703
BUND,2016-12-01,1.94,1,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201703,201706
BUND,2017-03-01,-3.22,1,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201706,201709
BUND,2017-06-01,,0,FGBL,GBL,FUT,EUR,EUREX,DTB,0,201709,201712
CAC,2016-10-12,,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201611,201612
CAC,2016-11-11,-9.25,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201612,201701
CAC,2016-12-12,-8.5,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201701,201702
CAC,2017-01-11,-2.0,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201702,201703
CAC,2017-02-17,15.5,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201703,201704
CAC,2017-03-13,-17.0,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201704,201705
CAC,2017-04-11,-63.0,1,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201705,201706
CAC,2017-05-12,,0,FCE,CAC40,FUT,EUR,LIFFE,MONEP,10,201706,201707
CHFUSD,,,1,,CHF,CASH,USD,,IDEALPRO,0,,
COPPER,2016-09-12,,1,HG,HG,FUT,USD,CME,NYMEX,0,201612,201701
COPPER,2016-12-01,0.0115,1,HG,HG,FUT,USD,CME,NYMEX,0,201703,201704
COPPER,2017-03-01,0.016,1,HG,HG,FUT,USD,CME,NYMEX,0,201706,201707
COPPER,2017-06-01,,0,HG,HG,FUT,USD,CME,NYMEX,0,201709,201710
CORN,2016-09-14,,1,C,ZC,FUT,USD,CME,ECBOT,0,201712,201709
CORN,2017-09-14,,0,C,ZC,FUT,USD,CME,ECBOT,0,201812,201809
CRUDE_W,2016-10-19,,1,CL,CL,FUT,USD,CME,NYMEX,0,201712,201711
CRUDE_W,2017-10-19,,0,CL,CL,FUT,USD,CME,NYMEX,0,201812,201811
EDOLLAR,2016-08-12,,1,ED,GE,FUT,USD,CME,GLOBEX,0,201909,201906
EDOLLAR,2016-11-15,-0.075,1,ED,GE,FUT,USD,CME,GLOBEX,0,201912,201909
EDOLLAR,2017-02-15,-0.05,1,ED,GE,FUT,USD,CME,GLOBEX,0,202003,201912
EDOLLAR,2017-05-15,,0,ED,GE,FUT,USD,CME,GLOBEX,0,202006,202003
EUR,2016-09-12,,1,EC,EUR,FUT,USD,CME,GLOBEX,0,201612,201703
EUR,2016-12-09,0.00455,1,EC,EUR,FUT,USD,CME,GLOBEX,0,201703,201706
EUR,2017-03-10,0.004799999999999915,1,EC,EUR,FUT,USD,CME,GLOBEX,0,201706,201709
EUR,2017-06-09,,0,EC,EUR,FUT,USD,CME,GLOBEX,0,201709,201712
EURUSD,,,1,,EUR,CASH,USD,,IDEALPRO,0,,
EUROSTX,2016-09-15,,1,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201612,201703
EUROSTX,2016-12-15,-13.0,1,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201703,201706
EUROSTX,2017-03-13,-78.0,1,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201706,201709
EUROSTX,2017-06-14,,0,FESX,ESTX50,FUT,EUR,EUREX,DTB,0,201709,201712
GAS_US,2016-11-04,,1,NG,NG,FUT,USD,CME,NYMEX,0,201701,201612
GAS_US,2016-11-23,0.029000000000000362,1,NG,NG,FUT,USD,CME,NYMEX,0,201702,201701
GAS_US,2016-12-23,-0.04600000000000026,1,NG,NG,FUT,USD,CME,NYMEX,0,201703,201702
GAS_US,2017-01-23,0.02400000000000001,1,NG,NG,FUT,USD,CME,NYMEX,0,201704,201703
GAS_US,2017-02-22,0.07899999999999974,1,NG,NG,FUT,USD,CME,NYMEX,0,201705,201704
GAS_US,2017-03-22,0.07200000000000006,1,NG,NG,FUT,USD,CME,NYMEX,0,201706,201705
GAS_US,2017-04-21,,0,NG,NG,FUT,USD,CME,NYMEX,0,201707,201706
GBP,2016-09-12,,1,BP,GBP,FUT,USD,CME,GLOBEX,0,201612,201703
GBP,2016-12-09,0.0027,1,BP,GBP,FUT,USD,CME,GLOBEX,0,201703,201706
GBP,2017-03-10,0.0027999999999999137,1,BP,GBP,FUT,USD,CME,GLOBEX,0,201706,201709
GBP,2017-06-09,,0,BP,GBP,FUT,USD,CME,GLOBEX,0,201709,201712
GBPUSD,,,1,,GBP,CASH,USD,,IDEALPRO,0,,
GOLD,2016-08-03,,1,GC,GC,FUT,USD,CME,NYMEX,0,201612,201702
GOLD,2016-12-02,2.7,1,GC,GC,FUT,USD,CME,NYMEX,0,201702,201704
GOLD,2017-02-06,5.3,1,GC,GC,FUT,USD,CME,NYMEX,0,201706,201708
GOLD,2017-06-05,,0,GC,GC,FUT,USD,CME,NYMEX,0,201708,201710
JPY,2016-09-12,,1,JY,JPY,FUT,USD,CME,GLOBEX,0,201612,201703
JPY,2016-12-09,3.7e-05,1,JY,JPY,FUT,USD,CME,GLOBEX,0,201703,201706
JPY,2017-03-10,3.7000000000000574e-05,1,JY,JPY,FUT,USD,CME,GLOBEX,0,201706,201709
JPY,2017-06-09,,0,JY,JPY,FUT,USD,CME,GLOBEX,0,201709,201712
KOSPI,2016-09-02,,1,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201612,201703
KOSPI,2016-12-07,-2.85,1,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201703,201706
KOSPI,2017-03-07,0.9,1,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201706,201709
KOSPI,2017-06-02,,0,KRDRVFUK2I,K200,FUT,KRW,KRX,KSE,0,201709,201712
KR10,2016-09-13,,1,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201612,201703
KR10,2016-12-19,-0.26,1,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201703,201706
KR10,2017-03-21,-0.4500000000000029,1,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201706,201709
KR10,2017-06-20,,0,KRDRVFUBMA,FLKTB,FUT,KRW,KRX,KSE,0,201709,201712
KR3,2016-09-13,,1,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201612,201703
KR3,2016-12-19,-0.07,1,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201703,201706
KR3,2017-03-21,-0.269999999999996,1,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201706,201709
KR3,2017-06-20,,0,KRDRVFUBM3,3KTB,FUT,KRW,KRX,KSE,0,201709,201712
KRWUSD,,,1,,KRW,CASH,USD,,IDEALPRO,0,,
LEANHOG,2016-06-10,,1,LN,HE,FUT,USD,CME,GLOBEX,0,201706,201707
LEANHOG,2017-06-10,,0,LN,HE,FUT,USD,CME,GLOBEX,0,201806,201807
LIVECOW,2016-09-01,,1,LC,LE,FUT,USD,CME,GLOBEX,0,201710,201708
LIVECOW,2017-09-01,,0,LC,LE,FUT,USD,CME,GLOBEX,0,201810,201808
MXP,2016-09-14,,1,MP,MXP,FUT,USD,CME,GLOBEX,0,201612,201703
MXP,2016-12-09,-0.00047,1,MP,MXP,FUT,USD,CME,GLOBEX,0,201703,201706
MXP,2017-03-10,-0.0006999999999999992,1,MP,MXP,FUT,USD,CME,GLOBEX,0,201706,201709
MXP,2017-06-09,,0,MP,MXP,FUT,USD,CME,GLOBEX,0,201709,201712
NASDAQ,2016-09-09,,1,NQ,NQ,FUT,USD,CME,GLOBEX,0,201612,201703
NASDAQ,2016-12-09,-0.5,1,NQ,NQ,FUT,USD,CME,GLOBEX,0,201703,201706
NASDAQ,2017-03-09,4.0,1,NQ,NQ,FUT,USD,CME,GLOBEX,0,201706,201709
NASDAQ,2017-06-09,,0,NQ,NQ,FUT,USD,CME,GLOBEX,0,201709,201712
NZD,2016-09-16,,1,NE,NZD,FUT,USD,CME,GLOBEX,0,201612,201703
NZD,2016-12-09,-0.0019,1,NE,NZD,FUT,USD,CME,GLOBEX,0,201703,201706
NZD,2017-03-10,-0.0018000000000000238,1,NE,NZD,FUT,USD,CME,GLOBEX,0,201706,201709
NZD,2017-06-09,,0,NE,NZD,FUT,USD,CME,GLOBEX,0,201709,201712
OAT,2016-09-02,,1,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201612,201703
OAT,2016-12-01,-1.81,1,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201703,201706
OAT,2017-03-01,-2.45,1,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201706,201709
OAT,2017-06-05,,0,FOAT,OAT,FUT,EUR,EUREX,DTB,0,201709,201712
PALLAD,2016-08-30,,1,PA,PA,FUT,USD,CME,NYMEX,0,201612,201703
